Date,E (PST),Stage,Month,Stage_m
1/5/2014,8:00:00 AM,13.45,January,4.09956
1/5/2014,9:00:00 AM,13.43,January,4.093464
1/5/2014,10:00:00 AM,13.43,January,4.093464
1/5/2014,11:00:00 AM,13.39,January,4.081272
1/5/2014,12:00:00 PM,13.38,January,4.078224
1/5/2014,1:00:00 PM,13.37,January,4.075176
1/5/2014,2:00:00 PM,13.35,January,4.06908
1/5/2014,3:00:00 PM,13.35,January,4.06908
1/5/2014,4:00:00 PM,13.34,January,4.066032
1/5/2014,5:00:00 PM,13.33,January,4.062984
1/5/2014,6:00:00 PM,13.33,January,4.062984
1/5/2014,7:00:00 PM,13.32,January,4.059936
1/5/2014,8:00:00 PM,13.32,January,4.059936
1/5/2014,9:00:00 PM,13.32,January,4.059936
1/5/2014,10:00:00 PM,13.31,January,4.056888
1/5/2014,11:00:00 PM,13.31,January,4.056888
1/6/2014,12:00:00 AM,13.3,January,4.05384
1/6/2014,1:00:00 AM,13.3,January,4.05384
1/6/2014,2:00:00 AM,13.3,January,4.05384
1/6/2014,3:00:00 AM,13.3,January,4.05384
1/6/2014,4:00:00 AM,13.3,January,4.05384
1/6/2014,5:00:00 AM,13.3,January,4.05384
1/6/2014,6:00:00 AM,13.31,January,4.056888
1/6/2014,7:00:00 AM,13.3,January,4.05384
1/6/2014,8:00:00 AM,13.3,January,4.05384
1/6/2014,9:00:00 AM,13.3,January,4.05384
1/6/2014,10:00:00 AM,13.29,January,4.050792
1/6/2014,11:00:00 AM,13.31,January,4.056888
1/6/2014,12:00:00 PM,13.3,January,4.05384
1/6/2014,1:00:00 PM,13.27,January,4.044696
1/6/2014,2:00:00 PM,13.28,January,4.047744
1/6/2014,3:00:00 PM,13.28,January,4.047744
1/6/2014,4:00:00 PM,13.29,January,4.050792
1/6/2014,5:00:00 PM,13.3,January,4.05384
1/6/2014,6:00:00 PM,13.29,January,4.050792
1/6/2014,7:00:00 PM,13.3,January,4.05384
1/6/2014,8:00:00 PM,13.3,January,4.05384
1/6/2014,9:00:00 PM,13.31,January,4.056888
1/6/2014,10:00:00 PM,13.3,January,4.05384
1/6/2014,11:00:00 PM,13.32,January,4.059936
1/7/2014,12:00:00 AM,13.33,January,4.062984
1/7/2014,1:00:00 AM,13.32,January,4.059936
1/7/2014,2:00:00 AM,13.32,January,4.059936
1/7/2014,3:00:00 AM,13.33,January,4.062984
1/7/2014,4:00:00 AM,13.32,January,4.059936
1/7/2014,5:00:00 AM,13.32,January,4.059936
1/7/2014,6:00:00 AM,13.31,January,4.056888
1/7/2014,7:00:00 AM,13.32,January,4.059936
1/7/2014,8:00:00 AM,13.32,January,4.059936
1/7/2014,9:00:00 AM,13.31,January,4.056888
1/7/2014,10:00:00 AM,13.31,January,4.056888
1/7/2014,11:00:00 AM,13.29,January,4.050792
1/7/2014,12:00:00 PM,13.3,January,4.05384
1/7/2014,1:00:00 PM,13.25,January,4.0386
1/7/2014,2:00:00 PM,13.23,January,4.032504
1/7/2014,3:00:00 PM,13.23,January,4.032504
1/7/2014,4:00:00 PM,13.23,January,4.032504
1/7/2014,5:00:00 PM,13.23,January,4.032504
1/7/2014,6:00:00 PM,13.22,January,4.029456
1/7/2014,7:00:00 PM,13.22,January,4.029456
1/7/2014,8:00:00 PM,13.23,January,4.032504
1/7/2014,9:00:00 PM,13.21,January,4.026408
1/7/2014,10:00:00 PM,13.22,January,4.029456
1/7/2014,11:00:00 PM,13.22,January,4.029456
1/8/2014,12:00:00 AM,13.22,January,4.029456
1/8/2014,1:00:00 AM,13.21,January,4.026408
1/8/2014,2:00:00 AM,13.21,January,4.026408
1/8/2014,3:00:00 AM,13.22,January,4.029456
1/8/2014,4:00:00 AM,13.21,January,4.026408
1/8/2014,5:00:00 AM,13.2,January,4.02336
1/8/2014,6:00:00 AM,13.17,January,4.014216
1/8/2014,7:00:00 AM,13.16,January,4.011168
1/8/2014,8:00:00 AM,13.14,January,4.005072
1/8/2014,9:00:00 AM,13.11,January,3.995928
1/8/2014,10:00:00 AM,13.08,January,3.986784
1/8/2014,11:00:00 AM,13.08,January,3.986784
1/8/2014,12:00:00 PM,13.08,January,3.986784
1/8/2014,1:00:00 PM,12.97,January,3.953256
1/8/2014,2:00:00 PM,12.95,January,3.94716
1/8/2014,3:00:00 PM,12.93,January,3.941064
1/8/2014,4:00:00 PM,12.92,January,3.938016
1/8/2014,5:00:00 PM,12.9,January,3.93192
1/8/2014,6:00:00 PM,12.89,January,3.928872
1/8/2014,7:00:00 PM,12.89,January,3.928872
1/8/2014,8:00:00 PM,12.87,January,3.922776
1/8/2014,9:00:00 PM,12.87,January,3.922776
1/8/2014,10:00:00 PM,12.86,January,3.919728
1/8/2014,11:00:00 PM,12.84,January,3.913632
1/9/2014,12:00:00 AM,12.84,January,3.913632
1/9/2014,1:00:00 AM,12.84,January,3.913632
1/9/2014,2:00:00 AM,12.83,January,3.910584
1/9/2014,3:00:00 AM,12.81,January,3.904488
1/9/2014,4:00:00 AM,12.79,January,3.898392
1/9/2014,5:00:00 AM,12.8,January,3.90144
1/9/2014,6:00:00 AM,12.77,January,3.892296
1/9/2014,7:00:00 AM,12.76,January,3.889248
1/9/2014,8:00:00 AM,12.75,January,3.8862
1/9/2014,9:00:00 AM,12.74,January,3.883152
1/9/2014,10:00:00 AM,12.73,January,3.880104
1/9/2014,11:00:00 AM,12.72,January,3.877056
1/9/2014,12:00:00 PM,12.71,January,3.874008
1/9/2014,1:00:00 PM,12.7,January,3.87096
1/9/2014,2:00:00 PM,12.7,January,3.87096
1/9/2014,3:00:00 PM,12.69,January,3.867912
1/9/2014,4:00:00 PM,12.69,January,3.867912
1/9/2014,5:00:00 PM,12.68,January,3.864864
1/9/2014,6:00:00 PM,12.68,January,3.864864
1/9/2014,7:00:00 PM,12.68,January,3.864864
1/9/2014,8:00:00 PM,12.68,January,3.864864
1/9/2014,9:00:00 PM,12.69,January,3.867912
1/9/2014,10:00:00 PM,12.69,January,3.867912
1/9/2014,11:00:00 PM,12.7,January,3.87096
1/10/2014,12:00:00 AM,12.68,January,3.864864
1/10/2014,1:00:00 AM,12.69,January,3.867912
1/10/2014,2:00:00 AM,12.7,January,3.87096
1/10/2014,3:00:00 AM,12.7,January,3.87096
1/10/2014,4:00:00 AM,12.68,January,3.864864
1/10/2014,5:00:00 AM,12.69,January,3.867912
1/10/2014,6:00:00 AM,12.69,January,3.867912
1/10/2014,7:00:00 AM,12.67,January,3.861816
1/10/2014,8:00:00 AM,12.66,January,3.858768
1/10/2014,9:00:00 AM,12.66,January,3.858768
1/10/2014,10:00:00 AM,12.67,January,3.861816
1/10/2014,11:00:00 AM,12.67,January,3.861816
1/10/2014,12:00:00 PM,12.66,January,3.858768
1/10/2014,1:00:00 PM,12.62,January,3.846576
1/10/2014,2:00:00 PM,12.62,January,3.846576
1/10/2014,3:00:00 PM,12.61,January,3.843528
1/10/2014,4:00:00 PM,12.61,January,3.843528
1/10/2014,5:00:00 PM,12.6,January,3.84048
1/10/2014,6:00:00 PM,12.6,January,3.84048
1/10/2014,7:00:00 PM,12.61,January,3.843528
1/10/2014,8:00:00 PM,12.62,January,3.846576
1/10/2014,9:00:00 PM,12.62,January,3.846576
1/10/2014,10:00:00 PM,12.63,January,3.849624
1/10/2014,11:00:00 PM,12.62,January,3.846576
1/11/2014,12:00:00 AM,12.62,January,3.846576
1/11/2014,1:00:00 AM,12.62,January,3.846576
1/11/2014,2:00:00 AM,12.64,January,3.852672
1/11/2014,3:00:00 AM,12.64,January,3.852672
1/11/2014,4:00:00 AM,12.65,January,3.85572
1/11/2014,5:00:00 AM,12.65,January,3.85572
1/11/2014,6:00:00 AM,12.62,January,3.846576
1/11/2014,7:00:00 AM,12.63,January,3.849624
1/11/2014,8:00:00 AM,12.6,January,3.84048
1/11/2014,9:00:00 AM,12.6,January,3.84048
1/11/2014,10:00:00 AM,12.6,January,3.84048
1/11/2014,11:00:00 AM,12.61,January,3.843528
1/11/2014,12:00:00 PM,12.58,January,3.834384
1/11/2014,1:00:00 PM,12.53,January,3.819144
1/11/2014,2:00:00 PM,12.53,January,3.819144
1/11/2014,3:00:00 PM,12.52,January,3.816096
1/11/2014,4:00:00 PM,12.51,January,3.813048
1/11/2014,5:00:00 PM,12.52,January,3.816096
1/11/2014,6:00:00 PM,12.52,January,3.816096
1/11/2014,7:00:00 PM,12.51,January,3.813048
1/11/2014,8:00:00 PM,12.51,January,3.813048
1/11/2014,9:00:00 PM,12.51,January,3.813048
1/11/2014,10:00:00 PM,12.51,January,3.813048
1/11/2014,11:00:00 PM,12.52,January,3.816096
1/12/2014,12:00:00 AM,12.52,January,3.816096
1/12/2014,1:00:00 AM,12.52,January,3.816096
1/12/2014,2:00:00 AM,12.51,January,3.813048
1/12/2014,3:00:00 AM,12.51,January,3.813048
1/12/2014,4:00:00 AM,12.51,January,3.813048
1/12/2014,5:00:00 AM,12.52,January,3.816096
1/12/2014,6:00:00 AM,12.51,January,3.813048
1/12/2014,7:00:00 AM,12.51,January,3.813048
1/12/2014,8:00:00 AM,12.51,January,3.813048
1/12/2014,9:00:00 AM,12.49,January,3.806952
1/12/2014,10:00:00 AM,12.48,January,3.803904
1/12/2014,11:00:00 AM,12.48,January,3.803904
1/12/2014,12:00:00 PM,12.48,January,3.803904
1/12/2014,1:00:00 PM,12.47,January,3.800856
1/12/2014,2:00:00 PM,12.47,January,3.800856
1/12/2014,3:00:00 PM,12.46,January,3.797808
1/12/2014,4:00:00 PM,12.45,January,3.79476
1/12/2014,5:00:00 PM,12.45,January,3.79476
1/12/2014,6:00:00 PM,12.46,January,3.797808
1/12/2014,7:00:00 PM,12.46,January,3.797808
1/12/2014,8:00:00 PM,12.46,January,3.797808
1/12/2014,9:00:00 PM,12.46,January,3.797808
1/12/2014,10:00:00 PM,12.46,January,3.797808
1/12/2014,11:00:00 PM,12.47,January,3.800856
1/13/2014,12:00:00 AM,12.47,January,3.800856
1/13/2014,1:00:00 AM,12.47,January,3.800856
1/13/2014,2:00:00 AM,12.47,January,3.800856
1/13/2014,3:00:00 AM,12.47,January,3.800856
1/13/2014,4:00:00 AM,12.47,January,3.800856
1/13/2014,5:00:00 AM,12.47,January,3.800856
1/13/2014,6:00:00 AM,12.47,January,3.800856
1/13/2014,7:00:00 AM,12.46,January,3.797808
1/13/2014,8:00:00 AM,12.47,January,3.800856
1/13/2014,9:00:00 AM,12.45,January,3.79476
1/13/2014,10:00:00 AM,12.45,January,3.79476
1/13/2014,11:00:00 AM,12.47,January,3.800856
1/13/2014,12:00:00 PM,12.46,January,3.797808
1/13/2014,1:00:00 PM,12.44,January,3.791712
1/13/2014,2:00:00 PM,12.46,January,3.797808
1/13/2014,3:00:00 PM,12.45,January,3.79476
1/13/2014,4:00:00 PM,12.47,January,3.800856
1/13/2014,5:00:00 PM,12.47,January,3.800856
1/13/2014,6:00:00 PM,12.49,January,3.806952
1/13/2014,7:00:00 PM,12.49,January,3.806952
1/13/2014,8:00:00 PM,12.51,January,3.813048
1/13/2014,9:00:00 PM,12.51,January,3.813048
1/13/2014,10:00:00 PM,12.51,January,3.813048
1/13/2014,11:00:00 PM,12.53,January,3.819144
1/14/2014,12:00:00 AM,12.54,January,3.822192
1/14/2014,1:00:00 AM,12.56,January,3.828288
1/14/2014,2:00:00 AM,12.58,January,3.834384
1/14/2014,3:00:00 AM,12.55,January,3.82524
1/14/2014,4:00:00 AM,12.56,January,3.828288
1/14/2014,5:00:00 AM,12.59,January,3.837432
1/14/2014,6:00:00 AM,12.56,January,3.828288
1/14/2014,7:00:00 AM,12.56,January,3.828288
1/14/2014,8:00:00 AM,12.58,January,3.834384
1/14/2014,9:00:00 AM,12.58,January,3.834384
1/14/2014,10:00:00 AM,12.58,January,3.834384
1/14/2014,11:00:00 AM,12.56,January,3.828288
1/14/2014,12:00:00 PM,12.58,January,3.834384
1/14/2014,1:00:00 PM,12.6,January,3.84048
1/14/2014,2:00:00 PM,12.59,January,3.837432
1/14/2014,3:00:00 PM,12.59,January,3.837432
1/14/2014,4:00:00 PM,12.57,January,3.831336
1/14/2014,5:00:00 PM,12.59,January,3.837432
1/14/2014,6:00:00 PM,12.57,January,3.831336
1/14/2014,7:00:00 PM,12.58,January,3.834384
1/14/2014,8:00:00 PM,12.58,January,3.834384
1/14/2014,9:00:00 PM,12.59,January,3.837432
1/14/2014,10:00:00 PM,12.59,January,3.837432
1/14/2014,11:00:00 PM,12.61,January,3.843528
1/15/2014,12:00:00 AM,12.63,January,3.849624
1/15/2014,1:00:00 AM,12.64,January,3.852672
1/15/2014,2:00:00 AM,12.66,January,3.858768
1/15/2014,3:00:00 AM,12.67,January,3.861816
1/15/2014,4:00:00 AM,12.67,January,3.861816
1/15/2014,5:00:00 AM,12.68,January,3.864864
1/15/2014,6:00:00 AM,12.68,January,3.864864
1/15/2014,7:00:00 AM,12.68,January,3.864864
1/15/2014,8:00:00 AM,12.67,January,3.861816
1/15/2014,9:00:00 AM,12.63,January,3.849624
1/15/2014,10:00:00 AM,12.68,January,3.864864
1/15/2014,11:00:00 AM,12.68,January,3.864864
1/15/2014,12:00:00 PM,12.7,January,3.87096
1/15/2014,1:00:00 PM,12.64,January,3.852672
1/15/2014,2:00:00 PM,12.71,January,3.874008
1/15/2014,3:00:00 PM,12.71,January,3.874008
1/15/2014,4:00:00 PM,12.69,January,3.867912
1/15/2014,5:00:00 PM,12.68,January,3.864864
1/15/2014,6:00:00 PM,12.69,January,3.867912
1/15/2014,7:00:00 PM,12.65,January,3.85572
1/15/2014,8:00:00 PM,12.66,January,3.858768
1/15/2014,9:00:00 PM,12.64,January,3.852672
1/15/2014,10:00:00 PM,12.63,January,3.849624
1/15/2014,11:00:00 PM,12.64,January,3.852672
1/16/2014,12:00:00 AM,12.61,January,3.843528
1/16/2014,1:00:00 AM,12.66,January,3.858768
1/16/2014,2:00:00 AM,12.69,January,3.867912
1/16/2014,3:00:00 AM,12.64,January,3.852672
1/16/2014,4:00:00 AM,12.62,January,3.846576
1/16/2014,5:00:00 AM,12.7,January,3.87096
1/16/2014,6:00:00 AM,12.7,January,3.87096
1/16/2014,7:00:00 AM,12.67,January,3.861816
1/16/2014,8:00:00 AM,12.64,January,3.852672
1/16/2014,9:00:00 AM,12.68,January,3.864864
1/16/2014,10:00:00 AM,12.62,January,3.846576
1/16/2014,11:00:00 AM,12.63,January,3.849624
1/16/2014,12:00:00 PM,12.63,January,3.849624
1/16/2014,1:00:00 PM,12.58,January,3.834384
1/16/2014,2:00:00 PM,12.57,January,3.831336
1/16/2014,3:00:00 PM,12.56,January,3.828288
1/16/2014,4:00:00 PM,12.56,January,3.828288
1/16/2014,5:00:00 PM,12.55,January,3.82524
1/16/2014,6:00:00 PM,12.55,January,3.82524
1/16/2014,7:00:00 PM,12.54,January,3.822192
1/16/2014,8:00:00 PM,12.53,January,3.819144
1/16/2014,9:00:00 PM,12.54,January,3.822192
1/16/2014,10:00:00 PM,12.54,January,3.822192
1/16/2014,11:00:00 PM,12.53,January,3.819144
1/17/2014,12:00:00 AM,12.53,January,3.819144
1/17/2014,1:00:00 AM,12.52,January,3.816096
1/17/2014,2:00:00 AM,12.51,January,3.813048
1/17/2014,3:00:00 AM,12.5,January,3.81
1/17/2014,4:00:00 AM,12.5,January,3.81
1/17/2014,5:00:00 AM,12.53,January,3.819144
1/17/2014,6:00:00 AM,12.51,January,3.813048
1/17/2014,7:00:00 AM,12.52,January,3.816096
1/17/2014,8:00:00 AM,12.49,January,3.806952
1/17/2014,9:00:00 AM,12.45,January,3.79476
1/17/2014,10:00:00 AM,12.43,January,3.788664
1/17/2014,11:00:00 AM,12.4,January,3.77952
1/17/2014,12:00:00 PM,12.4,January,3.77952
1/17/2014,1:00:00 PM,12.35,January,3.76428
1/17/2014,2:00:00 PM,12.34,January,3.761232
1/17/2014,3:00:00 PM,12.34,January,3.761232
1/17/2014,4:00:00 PM,12.33,January,3.758184
1/17/2014,5:00:00 PM,12.31,January,3.752088
1/17/2014,6:00:00 PM,12.32,January,3.755136
1/17/2014,7:00:00 PM,12.34,January,3.761232
1/17/2014,8:00:00 PM,12.3,January,3.74904
1/17/2014,9:00:00 PM,12.32,January,3.755136
1/17/2014,10:00:00 PM,12.28,January,3.742944
1/17/2014,11:00:00 PM,12.26,January,3.736848
1/18/2014,12:00:00 AM,12.28,January,3.742944
1/18/2014,1:00:00 AM,12.24,January,3.730752
1/18/2014,2:00:00 AM,12.25,January,3.7338
1/18/2014,3:00:00 AM,12.23,January,3.727704
1/18/2014,4:00:00 AM,12.24,January,3.730752
1/18/2014,5:00:00 AM,12.29,January,3.745992
1/18/2014,6:00:00 AM,12.21,January,3.721608
1/18/2014,7:00:00 AM,12.25,January,3.7338
1/18/2014,8:00:00 AM,12.29,January,3.745992
1/18/2014,9:00:00 AM,12.34,January,3.761232
1/18/2014,10:00:00 AM,12.15,January,3.70332
1/18/2014,11:00:00 AM,12.13,January,3.697224
1/18/2014,12:00:00 PM,12.11,January,3.691128
1/18/2014,1:00:00 PM,12.09,January,3.685032
1/18/2014,2:00:00 PM,12.08,January,3.681984
1/18/2014,3:00:00 PM,12.1,January,3.68808
1/18/2014,4:00:00 PM,12.09,January,3.685032
1/18/2014,5:00:00 PM,12.08,January,3.681984
1/18/2014,6:00:00 PM,12.08,January,3.681984
1/18/2014,7:00:00 PM,12.07,January,3.678936
1/18/2014,8:00:00 PM,12.07,January,3.678936
1/18/2014,9:00:00 PM,12.06,January,3.675888
1/18/2014,10:00:00 PM,12.06,January,3.675888
1/18/2014,11:00:00 PM,12.05,January,3.67284
1/19/2014,12:00:00 AM,12.06,January,3.675888
1/19/2014,1:00:00 AM,12.06,January,3.675888
1/19/2014,2:00:00 AM,12.06,January,3.675888
1/19/2014,3:00:00 AM,12.07,January,3.678936
1/19/2014,4:00:00 AM,12.06,January,3.675888
1/19/2014,5:00:00 AM,12.07,January,3.678936
1/19/2014,6:00:00 AM,12.05,January,3.67284
1/19/2014,7:00:00 AM,12.06,January,3.675888
1/19/2014,8:00:00 AM,12.06,January,3.675888
1/19/2014,9:00:00 AM,12.05,January,3.67284
1/19/2014,10:00:00 AM,12.05,January,3.67284
1/19/2014,11:00:00 AM,12.05,January,3.67284
1/19/2014,12:00:00 PM,12.06,January,3.675888
1/19/2014,1:00:00 PM,12.03,January,3.666744
1/19/2014,2:00:00 PM,12.04,January,3.669792
1/19/2014,3:00:00 PM,12.04,January,3.669792
1/19/2014,4:00:00 PM,12.06,January,3.675888
1/19/2014,5:00:00 PM,12.06,January,3.675888
1/19/2014,6:00:00 PM,12.07,January,3.678936
1/19/2014,7:00:00 PM,12.08,January,3.681984
1/19/2014,8:00:00 PM,12.09,January,3.685032
1/19/2014,9:00:00 PM,12.09,January,3.685032
1/19/2014,10:00:00 PM,12.1,January,3.68808
1/19/2014,11:00:00 PM,12.11,January,3.691128
1/20/2014,12:00:00 AM,12.12,January,3.694176
1/20/2014,1:00:00 AM,12.13,January,3.697224
1/20/2014,2:00:00 AM,12.14,January,3.700272
1/20/2014,3:00:00 AM,12.15,January,3.70332
1/20/2014,4:00:00 AM,12.15,January,3.70332
1/20/2014,5:00:00 AM,12.16,January,3.706368
1/20/2014,6:00:00 AM,12.16,January,3.706368
1/20/2014,7:00:00 AM,12.15,January,3.70332
1/20/2014,8:00:00 AM,12.14,January,3.700272
1/20/2014,9:00:00 AM,12.15,January,3.70332
1/20/2014,10:00:00 AM,12.14,January,3.700272
1/20/2014,11:00:00 AM,12.12,January,3.694176
1/20/2014,12:00:00 PM,12.11,January,3.691128
1/20/2014,1:00:00 PM,12.13,January,3.697224
1/20/2014,2:00:00 PM,12.12,January,3.694176
1/20/2014,3:00:00 PM,12.12,January,3.694176
1/20/2014,4:00:00 PM,12.12,January,3.694176
1/20/2014,5:00:00 PM,12.12,January,3.694176
1/20/2014,6:00:00 PM,12.11,January,3.691128
1/20/2014,7:00:00 PM,12.11,January,3.691128
1/20/2014,8:00:00 PM,12.1,January,3.68808
1/20/2014,9:00:00 PM,12.08,January,3.681984
1/20/2014,10:00:00 PM,12.07,January,3.678936
1/20/2014,11:00:00 PM,12.07,January,3.678936
1/21/2014,12:00:00 AM,12.08,January,3.681984
1/21/2014,1:00:00 AM,12.07,January,3.678936
1/21/2014,2:00:00 AM,12.07,January,3.678936
1/21/2014,3:00:00 AM,12.08,January,3.681984
1/21/2014,4:00:00 AM,12.07,January,3.678936
1/21/2014,5:00:00 AM,12.06,January,3.675888
1/21/2014,6:00:00 AM,12.05,January,3.67284
1/21/2014,7:00:00 AM,12.03,January,3.666744
1/21/2014,8:00:00 AM,12.06,January,3.675888
1/21/2014,9:00:00 AM,12,January,3.6576
1/21/2014,10:00:00 AM,12.02,January,3.663696
1/21/2014,11:00:00 AM,12.01,January,3.660648
1/21/2014,12:00:00 PM,11.99,January,3.654552
1/21/2014,1:00:00 PM,11.95,January,3.64236
1/21/2014,2:00:00 PM,11.95,January,3.64236
1/21/2014,3:00:00 PM,11.94,January,3.639312
1/21/2014,4:00:00 PM,11.94,January,3.639312
1/21/2014,5:00:00 PM,11.94,January,3.639312
1/21/2014,6:00:00 PM,11.93,January,3.636264
1/21/2014,7:00:00 PM,11.93,January,3.636264
1/21/2014,8:00:00 PM,11.93,January,3.636264
1/21/2014,9:00:00 PM,11.93,January,3.636264
1/21/2014,10:00:00 PM,11.92,January,3.633216
1/21/2014,11:00:00 PM,11.92,January,3.633216
1/22/2014,12:00:00 AM,11.92,January,3.633216
1/22/2014,1:00:00 AM,11.92,January,3.633216
1/22/2014,2:00:00 AM,11.91,January,3.630168
1/22/2014,3:00:00 AM,11.92,January,3.633216
1/22/2014,4:00:00 AM,11.93,January,3.636264
1/22/2014,5:00:00 AM,11.93,January,3.636264
1/22/2014,6:00:00 AM,11.93,January,3.636264
1/22/2014,7:00:00 AM,11.93,January,3.636264
1/22/2014,8:00:00 AM,11.93,January,3.636264
1/22/2014,9:00:00 AM,11.92,January,3.633216
1/22/2014,10:00:00 AM,11.93,January,3.636264
1/22/2014,11:00:00 AM,11.94,January,3.639312
1/22/2014,12:00:00 PM,11.94,January,3.639312
1/22/2014,1:00:00 PM,11.92,January,3.633216
